problem,max,factorable,context,index,prefix,switch,switch_index
3x^2 - 21x + 30 = 0,5,True,"The quadratic equation 3x^2 - 21x + 30 = 0 can be factored as follows:

3(x^2 - 7x + 10) = 0

We can factor the quadratic expression within the parenthesis as:

3(x - 2)(x - 5) = 0

Setting each factor equal to zero gives the solutions:

x - 2 = 0  -->  x = 2
x - 5 = 0  -->  x = 5

Therefore, the roots of the quadratic equation are x = 2 and x = 5.",0,The quadratic equation 3x^2 - 21x + 30 = 0 can be ,0,7
3x^2 - 21x + 30 = 0,5,True,"The quadratic equation 3x^2 - 21x + 30 = 0 can be factored as follows:

3(x^2 - 7x + 10) = 0

We can factor the quadratic expression within the parenthesis as:

3(x - 2)(x - 5) = 0

Setting each factor equal to zero gives the solutions:

x - 2 = 0  -->  x = 2
x - 5 = 0  -->  x = 5

Therefore, the roots of the quadratic equation are x = 2 and x = 5.",1,"The quadratic equation 3x^2 - 21x + 30 = 0 can be factored as follows:

3(x^2 - 7x + 10) = 0

We can",0,7
3x^2 - 21x + 30 = 0,5,True,"The quadratic equation 3x^2 - 21x + 30 = 0 can be factored as follows:

3(x^2 - 7x + 10) = 0

We can factor the quadratic expression within the parenthesis as:

3(x - 2)(x - 5) = 0

Setting each factor equal to zero gives the solutions:

x - 2 = 0  -->  x = 2
x - 5 = 0  -->  x = 5

Therefore, the roots of the quadratic equation are x = 2 and x = 5.",2,"The quadratic equation 3x^2 - 21x + 30 = 0 can be factored as follows:

3(x^2 - 7x + 10) = 0

We can factor the quadratic expression within the parent",0,7
3x^2 - 21x + 30 = 0,5,True,"The quadratic equation 3x^2 - 21x + 30 = 0 can be factored as follows:

3(x^2 - 7x + 10) = 0

We can factor the quadratic expression within the parenthesis as:

3(x - 2)(x - 5) = 0

Setting each factor equal to zero gives the solutions:

x - 2 = 0  -->  x = 2
x - 5 = 0  -->  x = 5

Therefore, the roots of the quadratic equation are x = 2 and x = 5.",3,"The quadratic equation 3x^2 - 21x + 30 = 0 can be factored as follows:

3(x^2 - 7x + 10) = 0

We can factor the quadratic expression within the parenthesis as:

3(x - 2)(x - 5) = 0

Setting each facto",0,7
3x^2 - 21x + 30 = 0,5,True,"The quadratic equation 3x^2 - 21x + 30 = 0 can be factored as follows:

3(x^2 - 7x + 10) = 0

We can factor the quadratic expression within the parenthesis as:

3(x - 2)(x - 5) = 0

Setting each factor equal to zero gives the solutions:

x - 2 = 0  -->  x = 2
x - 5 = 0  -->  x = 5

Therefore, the roots of the quadratic equation are x = 2 and x = 5.",4,"The quadratic equation 3x^2 - 21x + 30 = 0 can be factored as follows:

3(x^2 - 7x + 10) = 0

We can factor the quadratic expression within the parenthesis as:

3(x - 2)(x - 5) = 0

Setting each factor equal to zero gives the solutions:

x - 2 = 0  -",0,7
3x^2 - 21x + 30 = 0,5,True,"The quadratic equation 3x^2 - 21x + 30 = 0 can be factored as follows:

3(x^2 - 7x + 10) = 0

We can factor the quadratic expression within the parenthesis as:

3(x - 2)(x - 5) = 0

Setting each factor equal to zero gives the solutions:

x - 2 = 0  -->  x = 2
x - 5 = 0  -->  x = 5

Therefore, the roots of the quadratic equation are x = 2 and x = 5.",5,"The quadratic equation 3x^2 - 21x + 30 = 0 can be factored as follows:

3(x^2 - 7x + 10) = 0

We can factor the quadratic expression within the parenthesis as:

3(x - 2)(x - 5) = 0

Setting each factor equal to zero gives the solutions:

x - 2 = 0  -->  x = 2
x - 5 = 0  -->  x = 5

Therefore, the ro",0,7
3x^2 - 21x + 30 = 0,5,True,"The quadratic equation 3x^2 - 21x + 30 = 0 can be factored as follows:

3(x^2 - 7x + 10) = 0

We can factor the quadratic expression within the parenthesis as:

3(x - 2)(x - 5) = 0

Setting each factor equal to zero gives the solutions:

x - 2 = 0  -->  x = 2
x - 5 = 0  -->  x = 5

Therefore, the roots of the quadratic equation are x = 2 and x = 5.",6,"The quadratic equation 3x^2 - 21x + 30 = 0 can be factored as follows:

3(x^2 - 7x + 10) = 0

We can factor the quadratic expression within the parenthesis as:

3(x - 2)(x - 5) = 0

Setting each factor equal to zero gives the solutions:

x - 2 = 0  -->  x = 2
x - 5 = 0  -->  x = 5

Therefore, the roots of the quadratic equation are x = 2 and x = 5.",0,7
2x^2 - 10x + 8 = 0,5,True,"We have the equation 2x^2 - 10x + 8 = 0.

First, we can factor out a 2: 

2(x^2 - 5x + 4) = 0.

Then, we can set the factor (x^2 - 5x + 4) equal to zero and factor it:

x^2 - 5x + 4 = 0
(x - 4)(x - 1) = 0

Then, we can set each factor (x - 4) and (x - 1) equal to zero and solve for x:

x - 4 = 0 yields x = 4
x - 1 = 0 yields x = 1

So the roots of the quadratic equation 2x^2 - 10x + 8 = 0 are 1 and 4.",0,"We have the equation 2x^2 - 10x + 8 = 0.

First, w",0,9
2x^2 - 10x + 8 = 0,5,True,"We have the equation 2x^2 - 10x + 8 = 0.

First, we can factor out a 2: 

2(x^2 - 5x + 4) = 0.

Then, we can set the factor (x^2 - 5x + 4) equal to zero and factor it:

x^2 - 5x + 4 = 0
(x - 4)(x - 1) = 0

Then, we can set each factor (x - 4) and (x - 1) equal to zero and solve for x:

x - 4 = 0 yields x = 4
x - 1 = 0 yields x = 1

So the roots of the quadratic equation 2x^2 - 10x + 8 = 0 are 1 and 4.",1,"We have the equation 2x^2 - 10x + 8 = 0.

First, we can factor out a 2: 

2(x^2 - 5x + 4) = 0.

Then",0,9
2x^2 - 10x + 8 = 0,5,True,"We have the equation 2x^2 - 10x + 8 = 0.

First, we can factor out a 2: 

2(x^2 - 5x + 4) = 0.

Then, we can set the factor (x^2 - 5x + 4) equal to zero and factor it:

x^2 - 5x + 4 = 0
(x - 4)(x - 1) = 0

Then, we can set each factor (x - 4) and (x - 1) equal to zero and solve for x:

x - 4 = 0 yields x = 4
x - 1 = 0 yields x = 1

So the roots of the quadratic equation 2x^2 - 10x + 8 = 0 are 1 and 4.",2,"We have the equation 2x^2 - 10x + 8 = 0.

First, we can factor out a 2: 

2(x^2 - 5x + 4) = 0.

Then, we can set the factor (x^2 - 5x + 4) equal to ze",0,9
