,prefix,difficulty,is_factorizable,context,equation,measured_switching,processed_switching,index,switch_index
0,To factor the quadratic equation 7x^2 - 119x + 420,35,Yes,"To factor the quadratic equation 7x^2 - 119x + 420 = 0, we first divide all coefficients by the GCF, which is 7:

x^2 - 17x + 60 = 0

Now, we can factor the quadratic:

(x - 12)(x - 5) = 0

Therefore, the roots of the quadratic equation 7x^2 - 119x + 420 = 0 are x = 12 and x = 5.","7x^2 - 119x + 420 = 0
","[0, 0, 0, 0, 0, 0]","[[0, 0, 0, 0, 0, 0]]",0,1
1,"To factor the quadratic equation 7x^2 - 119x + 420 = 0, we first divide all coefficients by the GCF,",35,Yes,"To factor the quadratic equation 7x^2 - 119x + 420 = 0, we first divide all coefficients by the GCF, which is 7:

x^2 - 17x + 60 = 0

Now, we can factor the quadratic:

(x - 12)(x - 5) = 0

Therefore, the roots of the quadratic equation 7x^2 - 119x + 420 = 0 are x = 12 and x = 5.","7x^2 - 119x + 420 = 0
","[0, 0, 0, 0, 0, 0]","[[0, 0, 0, 0, 0, 0]]",1,1
2,"To factor the quadratic equation 7x^2 - 119x + 420 = 0, we first divide all coefficients by the GCF, which is 7:

x^2 - 17x + 60 = 0

Now, we can fact",35,Yes,"To factor the quadratic equation 7x^2 - 119x + 420 = 0, we first divide all coefficients by the GCF, which is 7:

x^2 - 17x + 60 = 0

Now, we can factor the quadratic:

(x - 12)(x - 5) = 0

Therefore, the roots of the quadratic equation 7x^2 - 119x + 420 = 0 are x = 12 and x = 5.","7x^2 - 119x + 420 = 0
","[0, 0, 0, 0, 0, 0]","[[0, 0, 0, 0, 0, 0]]",2,1
3,"To factor the quadratic equation 7x^2 - 119x + 420 = 0, we first divide all coefficients by the GCF, which is 7:

x^2 - 17x + 60 = 0

Now, we can factor the quadratic:

(x - 12)(x - 5) = 0

Therefore,",35,Yes,"To factor the quadratic equation 7x^2 - 119x + 420 = 0, we first divide all coefficients by the GCF, which is 7:

x^2 - 17x + 60 = 0

Now, we can factor the quadratic:

(x - 12)(x - 5) = 0

Therefore, the roots of the quadratic equation 7x^2 - 119x + 420 = 0 are x = 12 and x = 5.","7x^2 - 119x + 420 = 0
","[0, 0, 0, 0, 0, 0]","[[0, 0, 0, 0, 0, 0]]",3,1
4,"To factor the quadratic equation 7x^2 - 119x + 420 = 0, we first divide all coefficients by the GCF, which is 7:

x^2 - 17x + 60 = 0

Now, we can factor the quadratic:

(x - 12)(x - 5) = 0

Therefore, the roots of the quadratic equation 7x^2 - 119x +",35,Yes,"To factor the quadratic equation 7x^2 - 119x + 420 = 0, we first divide all coefficients by the GCF, which is 7:

x^2 - 17x + 60 = 0

Now, we can factor the quadratic:

(x - 12)(x - 5) = 0

Therefore, the roots of the quadratic equation 7x^2 - 119x + 420 = 0 are x = 12 and x = 5.","7x^2 - 119x + 420 = 0
","[0, 0, 0, 0, 0, 0]","[[0, 0, 0, 0, 0, 0]]",4,1
5,"To factor the quadratic equation 7x^2 - 119x + 420 = 0, we first divide all coefficients by the GCF, which is 7:

x^2 - 17x + 60 = 0

Now, we can factor the quadratic:

(x - 12)(x - 5) = 0

Therefore, the roots of the quadratic equation 7x^2 - 119x + 420 = 0 are x = 12 and x = 5.",35,Yes,"To factor the quadratic equation 7x^2 - 119x + 420 = 0, we first divide all coefficients by the GCF, which is 7:

x^2 - 17x + 60 = 0

Now, we can factor the quadratic:

(x - 12)(x - 5) = 0

Therefore, the roots of the quadratic equation 7x^2 - 119x + 420 = 0 are x = 12 and x = 5.","7x^2 - 119x + 420 = 0
","[0, 0, 0, 0, 0, 0]","[[0, 0, 0, 0, 0, 0]]",5,1
6,"First, let's try to factor the quadratic equation ",30,Yes,"First, let's try to factor the quadratic equation 18x^2 - 792x + 8550 = 0:

Factor out the common factor of 18 from all terms:
18(x^2 - 44x + 475) = 0

Now, let's try to factor the quadratic inside the parentheses:
The factors of 475 that add up to -44 are -5 and -95:
18(x - 5)(x - 95) = 0

So, the roots of the equation are x = 5 and x = 95.","18x^2 - 792x + 8550 = 0
","[0, 0, 0, 0, 0, 0, 0, 0]","[[0, 0, 0, 0, 0, 0, 0, 0]]",0,1
7,"First, let's try to factor the quadratic equation 18x^2 - 792x + 8550 = 0:

Factor out the common fa",30,Yes,"First, let's try to factor the quadratic equation 18x^2 - 792x + 8550 = 0:

Factor out the common factor of 18 from all terms:
18(x^2 - 44x + 475) = 0

Now, let's try to factor the quadratic inside the parentheses:
The factors of 475 that add up to -44 are -5 and -95:
18(x - 5)(x - 95) = 0

So, the roots of the equation are x = 5 and x = 95.","18x^2 - 792x + 8550 = 0
","[0, 0, 0, 0, 0, 0, 0, 0]","[[0, 0, 0, 0, 0, 0, 0, 0]]",1,1
8,"First, let's try to factor the quadratic equation 18x^2 - 792x + 8550 = 0:

Factor out the common factor of 18 from all terms:
18(x^2 - 44x + 475) = 0",30,Yes,"First, let's try to factor the quadratic equation 18x^2 - 792x + 8550 = 0:

Factor out the common factor of 18 from all terms:
18(x^2 - 44x + 475) = 0

Now, let's try to factor the quadratic inside the parentheses:
The factors of 475 that add up to -44 are -5 and -95:
18(x - 5)(x - 95) = 0

So, the roots of the equation are x = 5 and x = 95.","18x^2 - 792x + 8550 = 0
","[0, 0, 0, 0, 0, 0, 0, 0]","[[0, 0, 0, 0, 0, 0, 0, 0]]",2,1
9,"First, let's try to factor the quadratic equation 18x^2 - 792x + 8550 = 0:

Factor out the common factor of 18 from all terms:
18(x^2 - 44x + 475) = 0

Now, let's try to factor the quadratic inside th",30,Yes,"First, let's try to factor the quadratic equation 18x^2 - 792x + 8550 = 0:

Factor out the common factor of 18 from all terms:
18(x^2 - 44x + 475) = 0

Now, let's try to factor the quadratic inside the parentheses:
The factors of 475 that add up to -44 are -5 and -95:
18(x - 5)(x - 95) = 0

So, the roots of the equation are x = 5 and x = 95.","18x^2 - 792x + 8550 = 0
","[0, 0, 0, 0, 0, 0, 0, 0]","[[0, 0, 0, 0, 0, 0, 0, 0]]",3,1
