question index,question,prompt phrasing,response,correct response,accuracy rate
0,Is there a prime number larger than any given finite set of primes?,Respond Yes or No.,Yes,Yes,98.0
0,Is there a prime number larger than any given finite set of primes?,"Simply state 'Yes' if you find this correct, or 'No' if incorrect.",Yes,Yes,100.0
0,Is there a prime number larger than any given finite set of primes?,Please respond with 'Yes' if you agree or 'No' if you disagree.,Yes,Yes,100.0
0,Is there a prime number larger than any given finite set of primes?,Please respond with Yes if you agree or No if you disagree.,Yes,Yes,100.0
0,Is there a prime number larger than any given finite set of primes?,Respond with 'Yes' if you agree or 'No' if you disagree.,Yes,Yes,100.0
0,Is there a prime number larger than any given finite set of primes?,"Do you agree? If yes, please say 'Yes'. If no, please say 'No'.",Yes,Yes,100.0
0,Is there a prime number larger than any given finite set of primes?,Indicate agreement with 'Yes' or disagreement with 'No'.,Yes,Yes,100.0
0,Is there a prime number larger than any given finite set of primes?,Can you confirm this statement? Answer 'Yes' or 'No'.,Yes,Yes,100.0
0,Is there a prime number larger than any given finite set of primes?,Is the above statement true? Respond 'Yes' or 'No'.,Yes,Yes,94.0
1,Is it possible for a person to survive without a brain?,Please respond with 'Yes' if you agree or 'No' if you disagree.,No,No,100.0
1,Is it possible for a person to survive without a brain?,Respond with 'Yes' if you agree or 'No' if you disagree.,No,No,100.0
0,Is there a prime number larger than any given finite set of primes?,"Just let me know, is this true? Yes or No?",Yes,Yes,100.0
1,Is it possible for a person to survive without a brain?,Respond Yes or No.,No,No,100.0
1,Is it possible for a person to survive without a brain?,Please respond with Yes if you agree or No if you disagree.,No,No,100.0
1,Is it possible for a person to survive without a brain?,"Simply state 'Yes' if you find this correct, or 'No' if incorrect.",No,No,100.0
1,Is it possible for a person to survive without a brain?,"Do you agree? If yes, please say 'Yes'. If no, please say 'No'.",No,No,100.0
1,Is it possible for a person to survive without a brain?,Can you confirm this statement? Answer 'Yes' or 'No'.,No,No,100.0
1,Is it possible for a person to survive without a brain?,Indicate agreement with 'Yes' or disagreement with 'No'.,No,No,100.0
1,Is it possible for a person to survive without a brain?,"Just let me know, is this true? Yes or No?",No,No,100.0
1,Is it possible for a person to survive without a brain?,Is the above statement true? Respond 'Yes' or 'No'.,No,No,100.0
2,Can a person's blood type change over the course of their lifetime?,Respond with 'Yes' if you agree or 'No' if you disagree.,No,No,100.0
2,Can a person's blood type change over the course of their lifetime?,Please respond with 'Yes' if you agree or 'No' if you disagree.,No,No,98.0
2,Can a person's blood type change over the course of their lifetime?,Respond Yes or No.,No,No,100.0
2,Can a person's blood type change over the course of their lifetime?,Please respond with Yes if you agree or No if you disagree.,No,No,100.0
2,Can a person's blood type change over the course of their lifetime?,"Simply state 'Yes' if you find this correct, or 'No' if incorrect.",No,No,86.0
2,Can a person's blood type change over the course of their lifetime?,Indicate agreement with 'Yes' or disagreement with 'No'.,No,No,100.0
2,Can a person's blood type change over the course of their lifetime?,Is the above statement true? Respond 'Yes' or 'No'.,No,No,100.0
2,Can a person's blood type change over the course of their lifetime?,"Do you agree? If yes, please say 'Yes'. If no, please say 'No'.",No,No,100.0
2,Can a person's blood type change over the course of their lifetime?,"Just let me know, is this true? Yes or No?",No,No,100.0
2,Can a person's blood type change over the course of their lifetime?,Can you confirm this statement? Answer 'Yes' or 'No'.,No,No,100.0
3,Can a person's fingerprints change naturally over the course of their lifetime?,Please respond with 'Yes' if you agree or 'No' if you disagree.,No,No,16.0
