bandits,model,algorithm,prompt_type,standard_deviation,accuracy,game,model_prompt_name
"[<__main__.GaussianBandit object at 0x00000276DC7C9390>, <__main__.GaussianBandit object at 0x00000276DB77A550>, <__main__.GaussianBandit object at 0x00000276DE655F90>]",gpt-3.5-turbo,random,cot,20,0.4166666666666667,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DC741CD0>, <__main__.GaussianBandit object at 0x00000276DC741790>, <__main__.GaussianBandit object at 0x00000276DC7416D0>]",gpt-3.5-turbo,random,cot,35,0.3333333333333333,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DBC18310>, <__main__.GaussianBandit object at 0x00000276DC6CEC90>, <__main__.GaussianBandit object at 0x00000276E02218D0>]",gpt-3.5-turbo,random,cot,50,0.4166666666666667,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DC742DD0>, <__main__.GaussianBandit object at 0x00000276DC742D90>, <__main__.GaussianBandit object at 0x00000276DC742310>]",gpt-3.5-turbo,greedy,cot,20,0.25,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DC7418D0>, <__main__.GaussianBandit object at 0x00000276DC740E10>, <__main__.GaussianBandit object at 0x00000276DC7401D0>]",gpt-3.5-turbo,greedy,cot,35,0.0,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DD680790>, <__main__.GaussianBandit object at 0x00000276DB7F58D0>, <__main__.GaussianBandit object at 0x00000276DE47C590>]",gpt-3.5-turbo,greedy,cot,50,0.8333333333333334,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DC762A10>, <__main__.GaussianBandit object at 0x00000276DE42C0D0>, <__main__.GaussianBandit object at 0x00000276D7013010>]",gpt-3.5-turbo,ucb,cot,20,0.0,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DDCED790>, <__main__.GaussianBandit object at 0x00000276E08F0B10>, <__main__.GaussianBandit object at 0x00000276DB770AD0>]",gpt-3.5-turbo,ucb,cot,35,0.0,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DD629190>, <__main__.GaussianBandit object at 0x00000276DC73DC10>, <__main__.GaussianBandit object at 0x00000276DC73FF90>]",gpt-3.5-turbo,ucb,cot,50,0.0,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DC73F490>, <__main__.GaussianBandit object at 0x00000276DC73C350>, <__main__.GaussianBandit object at 0x00000276DC73E690>]",gpt-3.5-turbo,random,singletoken,20,0.5,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DE3C0E50>, <__main__.GaussianBandit object at 0x00000276DE3C09D0>, <__main__.GaussianBandit object at 0x00000276DE3C3C50>]",gpt-3.5-turbo,random,singletoken,35,0.3333333333333333,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DE3C2ED0>, <__main__.GaussianBandit object at 0x00000276DE3C3210>, <__main__.GaussianBandit object at 0x00000276DE3C2090>]",gpt-3.5-turbo,random,singletoken,50,0.5833333333333334,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DD0F94D0>, <__main__.GaussianBandit object at 0x00000276DD0FBED0>, <__main__.GaussianBandit object at 0x00000276DD0FB010>]",gpt-3.5-turbo,greedy,singletoken,20,0.08333333333333333,game data removed to save disk size,gpt-3.5-turbo_singletoken
