Unnamed: 0,num_iterations,bandits,game,accuracy
0,5,"[150, 100, 50]","{""choice"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 0, ""4"": 0}, ""reward"": {""0"": 173, ""1"": 108, ""2"": 25, ""3"": 139, ""4"": 175}, ""score"": {""0"": 173, ""1"": 281, ""2"": 306, ""3"": 445, ""4"": 620}}",0.6
1,10,"[50, 150, 100]","{""choice"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 1}, ""reward"": {""0"": 67, ""1"": 125, ""2"": 118, ""3"": 177, ""4"": 127, ""5"": 83, ""6"": 140, ""7"": 149, ""8"": 140, ""9"": 112}, ""score"": {""0"": 67, ""1"": 192, ""2"": 310, ""3"": 487, ""4"": 614, ""5"": 697, ""6"": 837, ""7"": 986, ""8"": 1126, ""9"": 1238}}",0.8
2,15,"[100, 50, 150]","{""choice"": {""0"": 0, ""1"": 2, ""2"": 2, ""3"": 2, ""4"": 2, ""5"": 2, ""6"": 2, ""7"": 2, ""8"": 2}, ""reward"": {""0"": 72, ""1"": 196, ""2"": 81, ""3"": 132, ""4"": 186, ""5"": 113, ""6"": 101, ""7"": 161, ""8"": 172}, ""score"": {""0"": 72, ""1"": 255, ""2"": 336, ""3"": 468, ""4"": 654, ""5"": 767, ""6"": 868, ""7"": 1029, ""8"": 1201}}",0.8888888888888888
3,20,"[50, 100, 150]","{""choice"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 2, ""8"": 2, ""9"": 2}, ""reward"": {""0"": 55, ""1"": 114, ""2"": 168, ""3"": 115, ""4"": 127, ""5"": 102, ""6"": 106, ""7"": 158, ""8"": 169, ""9"": 173}, ""score"": {""0"": 55, ""1"": 169, ""2"": 337, ""3"": 452, ""4"": 579, ""5"": 681, ""6"": 787, ""7"": 945, ""8"": 1114, ""9"": 1287}}",0.6
4,25,"[150, 50, 100]","{""choice"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 1}, ""reward"": {""0"": 168, ""1"": 74, ""2"": 113, ""3"": 186, ""4"": 150, ""5"": 148, ""6"": 131, ""7"": 181, ""8"": 40, ""9"": 101}, ""score"": {""0"": 168, ""1"": 242, ""2"": 355, ""3"": 541, ""4"": 691, ""5"": 839, ""6"": 970, ""7"": 1151, ""8"": 1191, ""9"": 1292}}",0.7
5,30,"[150, 100, 50]","{""choice"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0}, ""reward"": {""0"": 139, ""1"": 69, ""2"": 129, ""3"": 187, ""4"": 158, ""5"": 116, ""6"": 205, ""7"": 179, ""8"": 136, ""9"": 155}, ""score"": {""0"": 139, ""1"": 208, ""2"": 337, ""3"": 524, ""4"": 682, ""5"": 798, ""6"": 1003, ""7"": 1182, ""8"": 1318, ""9"": 1473}}",0.8
6,35,"[150, 100, 50]","{""choice"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0}, ""reward"": {""0"": 206, ""1"": 45, ""2"": 47, ""3"": 171, ""4"": 151, ""5"": 98, ""6"": 203, ""7"": 170, ""8"": 159, ""9"": 150}, ""score"": {""0"": 206, ""1"": 251, ""2"": 298, ""3"": 469, ""4"": 620, ""5"": 718, ""6"": 921, ""7"": 1091, ""8"": 1250, ""9"": 1400}}",0.8
7,40,"[50, 150, 100]","{""choice"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 1}, ""reward"": {""0"": 61, ""1"": 139, ""2"": 103, ""3"": 200, ""4"": 180, ""5"": 147, ""6"": 129, ""7"": 141, ""8"": 155, ""9"": 122}, ""score"": {""0"": 61, ""1"": 200, ""2"": 303, ""3"": 503, ""4"": 683, ""5"": 830, ""6"": 959, ""7"": 1100, ""8"": 1255, ""9"": 1377}}",0.8
8,45,"[150, 50, 100]","{""choice"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 0, ""4"": 1, ""5"": 0, ""6"": 2, ""7"": 0, ""8"": 0, ""9"": 0}, ""reward"": {""0"": 170, ""1"": 92, ""2"": 135, ""3"": 141, ""4"": 87, ""5"": 173, ""6"": 124, ""7"": 99, ""8"": 192, ""9"": 109}, ""score"": {""0"": 170, ""1"": 262, ""2"": 397, ""3"": 538, ""4"": 625, ""5"": 798, ""6"": 922, ""7"": 1021, ""8"": 1213, ""9"": 1322}}",0.6
9,50,"[100, 50, 150]","{""choice"": {""0"": 0, ""1"": 1, ""2"": 2, ""3"": 2, ""4"": 2, ""5"": 2, ""6"": 2, ""7"": 2, ""8"": 2, ""9"": 2}, ""reward"": {""0"": 43, ""1"": 66, ""2"": 148, ""3"": 189, ""4"": 193, ""5"": 156, ""6"": 153, ""7"": 141, ""8"": 164, ""9"": 140}, ""score"": {""0"": 43, ""1"": 109, ""2"": 257, ""3"": 446, ""4"": 639, ""5"": 795, ""6"": 948, ""7"": 1089, ""8"": 1253, ""9"": 1393}}",0.8
